index,team_name,team_name_abb,match_date,vs_or_at,opp_team_abb,opp_team_img_url,finished,w_or_l,score_team,score_opp,league
104,chelsea,CHE,11/9,VS,CP,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/english-premier-league/retina/7131.vresize.36.36.medium.0.png,False,,,,EPL
105,arsenal,ARS,9/1,VS,TOT,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/english-premier-league/retina/6154.vresize.36.36.medium.0.png,True,D,2,2,EPL
106,arsenal,ARS,9/15,AT,WAT,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/engch/6148.vresize.36.36.medium.0.png,True,D,2,2,EPL
107,arsenal,ARS,9/19,AT,EF,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/bundesliga/retina/6124.vresize.36.36.medium.0.png,True,W,3,0,Europa
108,arsenal,ARS,9/22,VS,AV,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/english-premier-league/retina/6144.vresize.36.36.medium.0.png,True,W,3,2,EPL
109,arsenal,ARS,9/24,VS,NF,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/engch/7133.vresize.36.36.medium.0.png,True,W,5,0,Lg Cup
110,arsenal,ARS,9/30,AT,MAN,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/english-premier-league/retina/6157.vresize.36.36.medium.0.png,False,,,,EPL
111,arsenal,ARS,10/3,VS,STD,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/belg/6192.vresize.36.36.medium.0.png,False,,,,Europa
112,arsenal,ARS,10/6,VS,BOU,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/engch/8260.vresize.36.36.medium.0.png,False,,,,EPL
113,arsenal,ARS,10/21,AT,SU,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/engl1/6141.vresize.36.36.medium.0.png,False,,,,EPL
114,arsenal,ARS,10/24,VS,VDG,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/ppl/7264.vresize.36.36.medium.0.png,False,,,,Europa
115,arsenal,ARS,10/27,VS,CP,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/english-premier-league/retina/7131.vresize.36.36.medium.0.png,False,,,,EPL
116,arsenal,ARS,11/2,VS,WLV,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/engch/7140.vresize.36.36.medium.0.png,False,,,,EPL
117,arsenal,ARS,11/6,AT,VDG,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/ppl/7264.vresize.36.36.medium.0.png,False,,,,Europa
118,arsenal,ARS,11/9,AT,LEI,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/english-premier-league/retina/7127.vresize.36.36.medium.0.png,False,,,,EPL
119,arsenal,ARS,11/23,VS,SHN,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/english-premier-league/retina/7128.vresize.36.36.medium.0.png,False,,,,EPL
120,tottenham-hotspur,TOT,9/1,AT,ARS,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/english-premier-league/retina/6145.vresize.36.36.medium.0.png,True,D,2,2,EPL
